Word,Count,Positive TFIDF,Neutral TFIDF,Negative TFIDF
glaway,1,1,1.001201299,1
glingkud,1,1.003656368,1,1
glutu,1,1,1.001314029,1
gmisa,1,1.003864076,1,1
gpahigay,1,1,1.001275278,1
gpaibabaw,1,1,1.001245138,1
gpaluyu,1,1,1.001184859,1
gpamatuud,1,1.003587132,1,1
gpanuku,1,1.003416705,1,1
gpapatigay,1,1,1.001245138,1
gpapili,1,1,1.001275278,1
gpasabut,1,1,1.001438032,1
gpasiugda,1,1.00344866,1,1
gprissc,1,1,1.001148691,1
gpugung,1,1,1.001275278,1
gpuyu,1,1,1.001365697,1
grabi,1,1,1,1.0020334
gradwadu,1,1,1.001314029,1
grali,1,1,1.001546535,1
grasya,1,1,1.001314029,1
griguriu,1,1,1.001071835,1
gsagubang,1,1,1,1.00291137
gsigi,1,1,1,1.002340689
gsunud,1,1,1.001221026,1
gtanaw,1,1,1.001201299,1
gtangag,1,1,1.001365697,1
gtanum,2,1,1.001782278,1
gtapuk,2,1,1.001502105,1
gtiayung,1,1.003587132,1,1
gtudlu,1,1,1.001201299,1
gtuu,2,1.003587132,1,1.001925649
gubat,1,1,1,1.002112417
gubiyirnu,1,1.003326479,1,1
guihulng,1,1,1.001148691,1
gukud,1,1,1,1.002198019
gumik,5,1,1.001569702,1.00235382
guna,2,1,1.001426775,1.002259164
gunang,1,1,1.001438032,1
gung,2,1,1,1.002030572
gunxha,1,1,1.001365697,1
gupirati,1,1,1,1.0020334
gustung,2,1,1.001445033,1
gusyu,2,1.003745386,1,1.00348205
guthung,1,1,1.001170948,1
guzm,1,1,1.001071835,1
gyud,8,1.003656368,1.001890524,1.003075953
habug,1,1,1.001131671,1
hadluk,1,1,1.001470975,1
hagit,1,1,1.001314029,1
halapad,1,1,1.001170948,1
hambin,1,1,1.001314029,1
handuraw,1,1,1.001314029,1
hangin,1,1,1.001365697,1
hangyu,1,1.003531743,1,1
hatag,4,1,1.001457459,1.002830136
hatud,2,1.003587132,1,1.002259164
hawan,1,1,1,1.002081289
higanting,1,1,1.001201299,1
higay,4,1.003440433,1.001263613,1.002131416
hilariu,1,1,1.001071835,1
hilaw,2,1,1.001201299,1.001960236
hilum,1,1,1.001546535,1
himplu,1,1,1.00208905,1
himu,11,1.004042304,1.002080865,1.002748742
himung,5,1.003745386,1.001398338,1.002492823
himutang,3,1,1.001365697,1.00235382
hinaut,1,1.00344866,1,1
hinimu,2,1.003745386,1.001221026,1
hinu,4,1.003531743,1.001432268,1.002492823
hinungd,3,1,1.001973538,1
hipi,3,1,1.001201299,1.002335217
hirsisyu,1,1,1.001221026,1
hisgut,2,1,1.0013175,1
hitabu,2,1,1.001201299,1.002198019
hitungud,1,1,1.001245138,1
hiyas,1,1,1.001221026,1
hudikatura,1,1.003416705,1,1
hukas,1,1,1.001159025,1
hukum,1,1,1.001546535,1
hulagway,2,1,1.001438032,1.002081289
hulga,1,1,1.001626626,1
hulganza,1,1,1.001201299,1
hulug,1,1.004279492,1,1
hunahuna,2,1,1.001245138,1.002112417
hunung,2,1,1,1.002285924
hurut,1,1,1,1.002340689
hustisiya,1,1,1.001184859,1
huwag,1,1,1,1.00348205
huwibis,1,1,1,1.002150463
hydruginatid,1,1,1.001148691,1
ikug,1,1,1.001438032,1
ilis,1,1.003587132,1,1
inbistigar,1,1,1.001170948,1
ining,4,1.004390542,1.001142898,1.002086952
intirviiw,1,1,1,1.002081289
irini,1,1,1.001081523,1
iskwila,1,1,1.001245138,1
istra,1,1,1.001438032,1
istricampu,1,1,1.001071835,1
isug,1,1,1.001146346,1
ixpiri,1,1,1.001245138,1
judi,1,1,1.001081523,1
juil,2,1.003365577,1.001071835,1
jusi,2,1.003656368,1.001221026,1
juvii,1,1,1,1.002259164
kaaghat,1,1,1.001159025,1
kaapiktu,1,1,1,1.002150463
kaataki,1,1,1,1.002112417
kaayu,4,1,1.001849432,1.0020334
kaayuh,1,1,1.001184859,1
kaayung,1,1,1,1.0020334
kabalik,1,1,1.001245138,1
kabalu,1,1,1,1.002454825
kabay,1,1,1.001190802,1
kabayad,1,1,1.001245138,1
kabig,1,1,1.001315324,1
kabisay,1,1,1,1.002198019
kabisi,1,1,1.001184859,1
kabus,1,1,1.001090823,1
kacumply,1,1,1,1.002081289
kadagh,2,1,1.001377584,1.002183046
kadaghan,1,1,1.001546535,1
kadaghang,1,1,1,1.002198019
kadaku,1,1.003531743,1,1
kadalan,1,1,1.001221026,1
kadalayg,1,1.004694908,1,1
kadaut,1,1,1.001275278,1
kadawat,3,1.003365577,1.001365697,1.002198019
kadayig,1,1,1,1.001918882
kadtu,1,1,1.001124808,1
kadtung,2,1,1.001502105,1
kadugang,1,1.003326479,1,1
kaduhang,1,1,1.001314029,1
kagamhan,1,1,1,1.002198019
kaguba,1,1,1.001275278,1
kaha,8,1,1.001972642,1.002715852
kahadluk,1,1,1.001314029,1
kahagu,1,1,1,1.002626029
kahanay,2,1.003864076,1.001546535,1
kahatag,1,1,1.00208905,1
kahibawu,1,1,1.001148691,1
kahigay,2,1.003326479,1,1.002454825
kahinay,1,1,1.001184859,1
kahinumdum,1,1,1,1.002055349
kahuut,1,1.003531743,1,1
kaib,1,1.003326479,1,1
kaigsu,2,1,1.001644415,1
kaila,2,1.003864076,1.00208905,1
kaimprinta,1,1,1.001221026,1
kaisug,3,1,1.001504329,1.001918882
kakabig,1,1,1.001170948,1
kakulang,1,1.003531743,1,1
kakuli,1,1,1.001314029,1
kakuwang,2,1,1.00126344,1
kalabut,1,1,1.001221026,1
kalampus,1,1,1.001124579,1
kalang,1,1.003864076,1,1
kalibut,2,1,1.001537683,1
kalikay,1,1,1,1.001918882
kalimang,1,1,1.001112523,1
kalimud,1,1,1.001314029,1
kalimut,1,1,1,1.0020334
kalisud,2,1,1.001090823,1.002112417
kaliwat,1,1,1.001221026,1
kalusad,1,1,1.001221026,1
kaluuy,1,1,1.001090823,1
kamatay,2,1.004694908,1,1.002150463
kamatinabang,1,1,1.001438032,1
kamatuur,1,1,1,1.002081289
kamau,1,1.00344866,1,1
kampanya,1,1,1.001275278,1
kana,2,1,1.00126495,1.001992414
kanaku,1,1,1.001201299,1
kanamu,1,1,1,1.0020334
kanang,1,1,1,1.0020334
kanasur,1,1,1.001131671,1
kanatu,1,1.003864076,1,1
kanaug,1,1,1.001159025,1
kandidatura,1,1,1.001184859,1
kang,2,1,1.001148691,1.002055349
kanhi,7,1.00344866,1.001757387,1.002081289
kaniadtu,2,1,1.001497234,1
kaniadtung,3,1,1.001131671,1.002300073
kaniya,2,1,1,1.002613292
kanusa,2,1,1.001937929,1
kapahunung,1,1,1,1.002454825
kapakurat,1,1,1.001314029,1
kapalangay,1,1.003531743,1,1
kapalpak,1,1,1,1.002340689
kapamilya,1,1,1.001314029,1
kapangutana,1,1,1.001365697,1
kapaniguru,1,1,1,1.00519409
kaparat,2,1,1.001221026,1.002112417
kapari,1,1,1.001546535,1
kapasaka,2,1,1.001582703,1
